Age,Gender,Education Level,Job Title,Years of Experience,Salary
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
27.0,Male,,Developer,7.0,<=100K
31.0,Female,Bachelor's Degree,Front end Developer,6.0,>100K
37.0,Male,Master's Degree,Software Engineer Manager,10.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
50.0,Male,PhD,Senior Project Engineer,18.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
31.0,Male,Master's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
43.0,Male,PhD,Senior Project Engineer,15.0,>100K
35.0,Female,Master's Degree,Full Stack Engineer,8.0,>100K
42.0,Male,Bachelor's Degree,Software Engineer Manager,12.0,>100K
28.0,Female,Bachelor's Degree,Front end Developer,2.0,<=100K
44.0,Female,PhD,Senior Project Engineer,16.0,>100K
32.0,Male,Master's Degree,Back end Developer,7.0,>100K
48.0,Male,PhD,Software Engineer Manager,18.0,>100K
30.0,Female,Bachelor's Degree,Full Stack Engineer,5.0,<=100K
34.0,Male,Master's Degree,Front end Developer,9.0,>100K
37.0,Female,Bachelor's Degree,Software Engineer Manager,11.0,>100K
26.0,Male,Bachelor's Degree,Back end Developer,2.0,<=100K
49.0,Female,PhD,Senior Project Engineer,19.0,>100K
29.0,Male,Bachelor's Degree,Full Stack Engineer,4.0,<=100K
41.0,Male,Master's Degree,Software Engineer Manager,14.0,>100K
31.0,Female,Bachelor's Degree,Front end Developer,6.0,>100K
37.0,Male,Master's Degree,Software Engineer Manager,10.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
50.0,Male,PhD,Senior Project Engineer,18.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Female,PhD,Senior Project Engineer,16.0,>100K
33.0,Male,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Male,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Software Engineer Manager,20.0,>100K
31.0,Male,Bachelor's Degree,Back end Developer,6.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,11.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
44.0,Female,PhD,Senior Project Engineer,16.0,>100K
32.0,Male,Master's Degree,Back end Developer,7.0,>100K
48.0,Male,PhD,Software Engineer Manager,19.0,>100K
30.0,Female,Bachelor's Degree,Full Stack Engineer,5.0,<=100K
34.0,Male,Master's Degree,Front end Developer,9.0,>100K
37.0,Female,Bachelor's Degree,Software Engineer Manager,11.0,>100K
26.0,Male,Bachelor's Degree,Back end Developer,2.0,<=100K
49.0,Female,PhD,Senior Project Engineer,19.0,>100K
29.0,Male,Bachelor's Degree,Full Stack Engineer,4.0,<=100K
41.0,Male,Master's Degree,Software Engineer Manager,14.0,>100K
31.0,Female,Bachelor's Degree,Front end Developer,6.0,>100K
37.0,Male,Master's Degree,Software Engineer Manager,10.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
50.0,Male,PhD,Senior Project Engineer,18.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
46.0,Male,PhD,Software Engineer Manager,16.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,7.0,>100K
30.0,Female,Master's Degree,Front end Developer,5.0,>100K
50.0,Male,PhD,Senior Project Engineer,19.0,>100K
30.0,Male,Bachelor's Degree,Back end Developer,5.0,<=100K
42.0,Male,Master's Degree,Software Engineer Manager,13.0,>100K
33.0,Female,Bachelor's Degree,Full Stack Engineer,6.0,>100K
45.0,Male,PhD,Senior Project Engineer,16.0,>100K
29.0,Female,Bachelor's Degree,Front end Developer,4.0,<=100K
39.0,Female,Master's Degree,Software Engineer Manager,12.0,>100K
27.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
49.0,Male,PhD,Senior Project Engineer,17.0,>100K
32.0,Female,Master's Degree,Full Stack Engineer,6.0,>100K
36.0,Male,Bachelor's Degree,Software Engineer Manager,8.0,>100K
27.0,Male,Bachelor's Degree,Front end Developer,2.0,<=100K
43.0,Female,PhD,Senior Project Engineer,14.0,>100K
34.0,Male,Master's Degree,Back end Developer,8.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,4.0,<=100K
33.0,Female,Master's Degree,Data Analyst,7.0,<=100K
22.0,Male,Bachelor's Degree,Front End Developer,1.0,<=100K
44.0,Male,PhD,Senior Data Scientist,15.0,>100K
29.0,Female,Bachelor's Degree,Software Developer,3.0,<=100K
31.0,Male,Master's Degree,Product Manager,6.0,>100K
25.0,Female,Master's Degree,Software Engineer,2.0,<=100K
38.0,Male,Bachelor's Degree,Data Scientist,10.0,>100K
27.0,Male,Bachelor's Degree,Software Engineer,3.0,<=100K
46.0,Female,PhD,Director of Data Science,20.0,>100K
33.0,Male,Master's Degree,Data Analyst,8.0,<=100K
24.0,Female,Bachelor's Degree,Software Developer,2.0,<=100K
36.0,Male,PhD,Senior Data Scientist,12.0,>100K
30.0,Female,Bachelor's Degree,Software Engineer,5.0,<=100K
29.0,Male,Bachelor's Degree,Front End Developer,4.0,<=100K
42.0,Male,Master's Degree,Product Manager,14.0,>100K
26.0,Male,Bachelor's Degree,Software Developer,2.0,<=100K
35.0,Female,Master's Degree,Data Analyst,9.0,>100K
27.0,Female,Bachelor's Degree,Software Engineer,3.0,<=100K
48.0,Male,PhD,Director of Data Science,18.0,>100K
34.0,Male,Master's Degree,Data Scientist,9.0,>100K
23.0,Female,Bachelor's Degree,Software Engineer,1.0,<=100K
32.0,Male,Master's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Software Engineer,2.0,<=100K
37.0,Male,Bachelor's Degree,Data Analyst,11.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,4.0,<=100K
41.0,Female,PhD,Director of Data Science,16.0,>100K
34.0,Male,Master's Degree,Data Analyst,8.0,<=100K
24.0,Female,Bachelor's Degree,Software Developer,2.0,<=100K
36.0,Male,PhD,Senior Data Scientist,12.0,>100K
30.0,Female,Bachelor's Degree,Software Engineer,5.0,<=100K
29.0,Male,Bachelor's Degree,Front End Developer,4.0,<=100K
42.0,Male,Master's Degree,Product Manager,14.0,>100K
26.0,Male,Bachelor's Degree,Software Developer,2.0,<=100K
35.0,Female,Master's Degree,Data Analyst,9.0,>100K
27.0,Female,Bachelor's Degree,Software Engineer,3.0,<=100K
48.0,Male,PhD,Director of Data Science,18.0,>100K
34.0,Male,Master's Degree,Data Scientist,9.0,>100K
23.0,Female,Bachelor's Degree,Software Engineer,1.0,<=100K
32.0,Male,Master's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Software Engineer,2.0,<=100K
37.0,Male,Bachelor's Degree,Data Analyst,11.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,4.0,<=100K
41.0,Female,PhD,Director of Data Science,16.0,>100K
34.0,Male,Master's Degree,Data Analyst,8.0,<=100K
24.0,Female,Bachelor's Degree,Software Developer,2.0,<=100K
36.0,Male,PhD,Senior Data Scientist,12.0,>100K
30.0,Female,Bachelor's Degree,Software Engineer,5.0,<=100K
29.0,Male,Bachelor's Degree,Front End Developer,4.0,<=100K
42.0,Male,Master's Degree,Product Manager,14.0,>100K
26.0,Male,Bachelor's Degree,Software Developer,2.0,<=100K
35.0,Female,Master's Degree,Data Analyst,9.0,>100K
27.0,Female,Bachelor's Degree,Software Engineer,3.0,<=100K
48.0,Male,PhD,Director of Data Science,18.0,>100K
34.0,Male,Master's Degree,Data Scientist,9.0,>100K
23.0,Female,Bachelor's Degree,Software Engineer,1.0,<=100K
32.0,Male,Master's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Software Engineer,2.0,<=100K
37.0,Male,Bachelor's Degree,Data Analyst,11.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,4.0,<=100K
41.0,Female,PhD,Director of Data Science,16.0,>100K
34.0,Male,Master's Degree,Data Analyst,8.0,<=100K
24.0,Female,Bachelor's Degree,Software Developer,2.0,<=100K
36.0,Male,PhD,Senior Data Scientist,12.0,>100K
30.0,Female,Bachelor's Degree,Software Engineer,5.0,<=100K
29.0,Male,Bachelor's Degree,Front End Developer,4.0,<=100K
42.0,Male,Master's Degree,Product Manager,14.0,>100K
26.0,Male,Bachelor's Degree,Software Developer,2.0,<=100K
35.0,Female,Master's Degree,Data Analyst,9.0,>100K
27.0,Female,Bachelor's Degree,Software Engineer,3.0,<=100K
48.0,Male,PhD,Director of Data Science,18.0,>100K
34.0,Male,Master's Degree,Data Scientist,9.0,>100K
23.0,Female,Bachelor's Degree,Software Engineer,1.0,<=100K
32.0,Male,Master's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Software Engineer,2.0,<=100K
37.0,Male,Bachelor's Degree,Data Analyst,11.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,4.0,<=100K
41.0,Female,PhD,Director of Data Science,16.0,>100K
34.0,Male,Master's Degree,Data Analyst,8.0,<=100K
24.0,Female,Bachelor's Degree,Software Developer,2.0,<=100K
36.0,Male,PhD,Senior Data Scientist,12.0,>100K
30.0,Female,Bachelor's Degree,Software Engineer,5.0,<=100K
29.0,Male,Bachelor's Degree,Front End Developer,4.0,<=100K
42.0,Male,Master's Degree,Product Manager,14.0,>100K
26.0,Male,Bachelor's Degree,Software Developer,2.0,<=100K
35.0,Female,Master's Degree,Data Analyst,9.0,>100K
27.0,Female,Bachelor's Degree,Software Engineer,3.0,<=100K
48.0,Male,PhD,Director of Data Science,18.0,>100K
34.0,Male,Master's Degree,Data Scientist,9.0,>100K
23.0,Female,Bachelor's Degree,Software Engineer,1.0,<=100K
32.0,Male,Master's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Software Engineer,2.0,<=100K
37.0,Male,Bachelor's Degree,Data Analyst,11.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,4.0,<=100K
41.0,Female,PhD,Director of Data Science,16.0,>100K
34.0,Male,Master's Degree,Data Analyst,8.0,<=100K
24.0,Female,Bachelor's Degree,Software Developer,2.0,<=100K
36.0,Male,PhD,Senior Data Scientist,12.0,>100K
30.0,Female,Bachelor's Degree,Software Engineer,5.0,<=100K
29.0,Male,Bachelor's Degree,Front End Developer,4.0,<=100K
42.0,Male,Master's Degree,Product Manager,14.0,>100K
26.0,Male,Bachelor's Degree,Software Developer,2.0,<=100K
35.0,Female,Master's Degree,Data Analyst,9.0,>100K
27.0,Female,Bachelor's Degree,Software Engineer,3.0,<=100K
48.0,Male,PhD,Director of Data Science,18.0,>100K
34.0,Male,Master's Degree,Data Scientist,9.0,>100K
23.0,Female,Bachelor's Degree,Software Engineer,1.0,<=100K
32.0,Male,Master's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Software Engineer,2.0,<=100K
37.0,Male,Bachelor's Degree,Data Analyst,11.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,4.0,<=100K
41.0,Female,PhD,Director of Data Science,16.0,>100K
34.0,Male,Master's Degree,Data Analyst,8.0,<=100K
24.0,Female,Bachelor's Degree,Software Developer,2.0,<=100K
36.0,Male,PhD,Senior Data Scientist,12.0,>100K
30.0,Female,Bachelor's Degree,Software Engineer,5.0,<=100K
29.0,Male,Bachelor's Degree,Front End Developer,4.0,<=100K
42.0,Male,Master's Degree,Product Manager,14.0,>100K
26.0,Male,Bachelor's Degree,Software Developer,2.0,<=100K
35.0,Female,Master's Degree,Data Analyst,9.0,>100K
27.0,Female,Bachelor's Degree,Software Engineer,3.0,<=100K
48.0,Male,PhD,Director of Data Science,18.0,>100K
34.0,Male,Master's Degree,Data Scientist,9.0,>100K
23.0,Female,Bachelor's Degree,Software Engineer,1.0,<=100K
34.0,Female,Bachelor's Degree,Full Stack Engineer,8.0,>100K
25.0,Male,PhD,Software Engineer Manager,12.0,>100K
43.0,Male,Master's Degree,Senior Software Engineer,21.0,>100K
53.0,Other,High School,Senior Project Engineer,31.0,>100K
27.0,Female,Master's Degree,Front end Developer,5.0,<=100K
25.0,Male,Bachelor's Degree,Back end Developer,2.0,<=100K
29.0,Female,Master's Degree,Senior Software Engineer,6.0,>100K
52.0,Male,PhD,Software Engineer Manager,23.0,>100K
41.0,Male,Master's Degree,Front end Developer,13.0,>100K
49.0,Female,Bachelor's Degree,Back end Developer,19.0,>100K
25.0,Other,High School,Full Stack Engineer,2.0,<=100K
35.0,Male,Master's Degree,Senior Project Engineer,8.0,>100K
57.0,Female,PhD,Full Stack Engineer,30.0,>100K
35.0,Female,Bachelor's Degree,Senior Project Engineer,12.0,>100K
43.0,Male,Master's Degree,Senior Software Engineer,21.0,>100K
37.0,Female,Bachelor's Degree,Full Stack Engineer,10.0,>100K
50.0,Male,Master's Degree,Software Engineer Manager,21.0,>100K
52.0,Female,Master's Degree,Senior Software Engineer,28.0,>100K
26.0,Male,Bachelor's Degree,Back end Developer,3.0,<=100K
34.0,Female,Master's Degree,Full Stack Engineer,10.0,>100K
30.0,Male,High School,Senior Project Engineer,11.0,>100K
60.0,Female,PhD,Software Engineer Manager,33.0,>100K
50.0,Male,Bachelor's Degree,Back end Developer,23.0,>100K
58.0,Male,Master's Degree,Senior Software Engineer,27.0,>100K
35.0,Female,Master's Degree,Full Stack Engineer,10.0,>100K
28.0,Male,Master's Degree,Front end Developer,5.0,<=100K
57.0,Female,PhD,Software Engineer Manager,33.0,>100K
46.0,Female,Bachelor's Degree,Senior Software Engineer,20.0,>100K
28.0,Male,High School,Back end Developer,7.0,<=100K
34.0,Male,Master's Degree,Full Stack Engineer,12.0,>100K
33.0,Female,Master's Degree,Senior Project Engineer,9.0,>100K
37.0,Other,Master's Degree,Full Stack Engineer,14.0,>100K
33.0,Male,Master's Degree,Senior Software Engineer,8.0,>100K
53.0,Male,PhD,Software Engineer Manager,25.0,>100K
35.0,Female,Bachelor's Degree,Back end Developer,10.0,>100K
30.0,Male,Master's Degree,Full Stack Engineer,6.0,>100K
24.0,Female,High School,Senior Project Engineer,1.0,<=100K
36.0,Male,Master's Degree,Front end Developer,8.0,>100K
27.0,Female,Bachelor's Degree,Full Stack Engineer,4.0,<=100K
23.0,Male,PhD,Software Engineer Manager,1.0,>100K
28.0,Female,Master's Degree,Senior Software Engineer,5.0,<=100K
52.0,Male,Bachelor's Degree,Back end Developer,25.0,>100K
28.0,Female,Master's Degree,Full Stack Engineer,7.0,>100K
32.0,Male,Master's Degree,Senior Project Engineer,11.0,>100K
24.0,Female,Bachelor's Degree,Front end Developer,1.0,<=100K
43.0,Male,High School,Senior Software Engineer,22.0,>100K
60.0,Female,PhD,Software Engineer Manager,34.0,>100K
24.0,Male,Master's Degree,Back end Developer,0.0,<=100K
55.0,Male,Bachelor's Degree,Senior Project Engineer,28.0,>100K
